gs_name	pval	padj	log2err	ES	NES	size	gene_set_collection	comparison	direction
REACTOME_INNATE_IMMUNE_SYSTEM	8.51439091061466e-09	1.55217346300505e-05	0.747739663149885	0.572231317268737	1.68138066817495	735	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_4	Upregulated
REACTOME_NEUTROPHIL_DEGRANULATION	4.8996903256229e-08	4.46606773180527e-05	0.719512826338911	0.660149317421466	1.83190475473542	362	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_4	Upregulated
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	1.03043886058925e-07	6.26163347618067e-05	0.704975715167238	-0.560584558031827	-1.52720360961372	1099	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_4	Downregulated
REACTOME_METABOLISM_OF_LIPIDS	1.86035049304047e-05	0.00847854737203193	0.575610261071129	0.540533332770607	1.54475614016928	564	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_4	Upregulated
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	0.000495773875750649	0.120324379045876	0.477270815362862	0.753686593225669	1.77893225237715	85	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_4	Upregulated
REACTOME_ARACHIDONATE_METABOLISM	0.000528027993618763	0.120324379045876	0.477270815362862	0.85298470844129	1.82113230347317	39	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_4	Upregulated
REACTOME_DISEASES_OF_IMMUNE_SYSTEM	0.000482113134447344	0.120324379045876	0.49849310876659	0.918573642263022	1.79482147079639	24	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_4	Upregulated
REACTOME_IRAK4_DEFICIENCY_TLR2_4	0.000358191355248513	0.120324379045876	0.49849310876659	0.972130528417246	1.6855063847087	12	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_4	Upregulated
REACTOME_CELLULAR_RESPONSES_TO_STIMULI	0.000730049099513468	0.135801000092605	0.477270815362862	-0.530185990137499	-1.40173201553999	651	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_4	Downregulated
REACTOME_TOLL_LIKE_RECEPTOR_CASCADES	0.000744931432213959	0.135801000092605	0.477270815362862	0.676401620337199	1.67495348909791	142	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_4	Upregulated
REACTOME_ANTIMICROBIAL_PEPTIDES	0.00109907613101711	0.150559638112639	0.45505986738723	0.904025749345088	1.75116891093031	22	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_4	Upregulated
REACTOME_CHOLESTEROL_BIOSYNTHESIS	0.00136352839781113	0.150559638112639	0.45505986738723	0.878835879097557	1.75322079372624	26	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_4	Upregulated
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	0.0011093432620312	0.150559638112639	0.45505986738723	0.656038698396887	1.62568440742239	140	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_4	Upregulated
REACTOME_REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE	0.00120975897855069	0.150559638112639	0.45505986738723	-0.743780494334541	-1.61791624879694	74	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_4	Downregulated
REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND	0.001404011984594	0.150559638112639	0.45505986738723	0.968001445813853	1.62768951358568	10	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_4	Upregulated
REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES	0.000926159566578124	0.150559638112639	0.477270815362862	0.916642254310132	1.7636293700075	21	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_4	Upregulated
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	0.00128644249458581	0.150559638112639	0.45505986738723	-0.576710879670605	-1.44285353245583	322	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_4	Downregulated
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS	0.00166185743657283	0.151478305343614	0.45505986738723	-0.724900209243698	-1.60995640270643	92	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_4	Downregulated
REACTOME_METABOLISM_OF_STEROIDS	0.00154329959753095	0.151478305343614	0.45505986738723	0.700517643266336	1.69116826903508	110	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_4	Upregulated
REACTOME_RNA_POLYMERASE_II_TRANSCRIBES_SNRNA_GENES	0.00159944713365531	0.151478305343614	0.45505986738723	-0.746553111084644	-1.62084450446469	72	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_4	Downregulated
REACTOME_CELL_CYCLE	0.00244574072322133	0.170686456899924	0.431707695803346	-0.523933968211073	-1.36714991960472	547	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_4	Downregulated
REACTOME_CELL_CYCLE_MITOTIC	0.00232743868071555	0.170686456899924	0.431707695803346	-0.542748714146246	-1.39621730717283	442	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_4	Downregulated
REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION	0.0025018827054768	0.170686456899924	0.431707695803346	-0.708136265153838	-1.5559005952138	84	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_4	Downregulated
