gs_name	pval	padj	log2err	ES	NES	size	gene_set_collection	comparison	direction
REACTOME_NEUTROPHIL_DEGRANULATION	2.83527454824471e-06	0.00518855242328781	0.627256739718528	0.662509630318892	1.79076714178542	370	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Upregulated
REACTOME_INNATE_IMMUNE_SYSTEM	1.12441449070431e-05	0.0102883925899444	0.593325476396405	0.543092099842696	1.5425295171667	748	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Upregulated
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	0.00014893107975954	0.0908479586533191	0.518848077743792	-0.506316078000555	-1.36003101605689	1139	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_MUSCLE_CONTRACTION	0.000284504648944156	0.130160876891951	0.49849310876659	-0.7261258530054	-1.67392676047357	109	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS	0.000686275725358379	0.166068195645175	0.477270815362862	-0.744927312293549	-1.64830503977275	82	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_ESR_MEDIATED_SIGNALING	0.000544515367148952	0.166068195645175	0.477270815362862	-0.688863237234535	-1.63962728462442	145	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_NGF_STIMULATED_TRANSCRIPTION	0.000725981183148308	0.166068195645175	0.477270815362862	-0.845365630326832	-1.67057942311551	36	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_SYNTHESIS_OF_16_20_HYDROXYEICOSATETRAENOIC_ACIDS_HETE	0.00067562406603552	0.166068195645175	0.477270815362862	-0.996203469187067	-1.38962261775321	3	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_CELLULAR_RESPONSES_TO_STIMULI	0.00114459087032295	0.2094601292691	0.45505986738723	-0.527959683165323	-1.38480537197959	669	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION	0.00113382999735926	0.2094601292691	0.45505986738723	-0.77496904951127	-1.61471892326001	54	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_METAL_SEQUESTRATION_BY_ANTIMICROBIAL_PROTEINS	0.0013848706571567	0.230392118417887	0.45505986738723	0.9953067609849	1.54940851940031	5	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Upregulated
REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS	0.00170482629849033	0.239987086633638	0.45505986738723	-0.560322741487844	-1.42251650750534	386	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_REGULATION_OF_PD_L1_CD274_TRANSCRIPTION	0.00158705737135797	0.239987086633638	0.45505986738723	-0.8188708632269	-1.6343997018004	40	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_CO_INHIBITION_BY_PD_1	0.00207676748648849	0.271463178590995	0.431707695803346	-0.653251031580178	-1.55342380367949	143	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	0.00290652698089689	0.354596291669421	0.431707695803346	0.703857262922461	1.73027602688012	148	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Upregulated
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS	0.00487584763683412	0.447969727246883	0.407017918923954	-0.690317198700759	-1.55069406488097	94	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION	0.00475705348564213	0.447969727246883	0.407017918923954	-0.702063842843044	-1.55983692771448	84	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_LTC4_CYSLTR_MEDIATED_IL4_PRODUCTION	0.00477076618763729	0.447969727246883	0.407017918923954	-0.996776615595748	-1.34111794806949	2	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS	0.00463736437291248	0.447969727246883	0.407017918923954	0.728365626725872	1.74340816865938	99	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Upregulated
REACTOME_POU5F1_OCT4_SOX2_NANOG_REPRESS_GENES_RELATED_TO_DIFFERENTIATION	0.00489584401362713	0.447969727246883	0.407017918923954	-0.984427291146612	-1.41975120748801	4	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	0.00764859280594303	0.459280969973971	0.407017918923954	0.765168575208515	1.83912586676232	86	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Upregulated
REACTOME_CARDIAC_CONDUCTION	0.00844861716675053	0.459280969973971	0.380730400722792	-0.722772520985735	-1.55394309102476	64	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_CASP4_MEDIATED_SUBSTRATE_CLEAVAGE	0.0104311163982294	0.459280969973971	0.380730400722792	0.979697653169753	1.45662957579176	4	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Upregulated
REACTOME_CASP5_MEDIATED_SUBSTRATE_CLEAVAGE	0.011959983240295	0.459280969973971	0.380730400722792	0.981613949077311	1.40623408022371	3	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Upregulated
REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS	0.00890460478590676	0.459280969973971	0.380730400722792	-0.646398187502621	-1.50448000807101	119	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_COMPLEX_I_BIOGENESIS	0.0109965782971311	0.459280969973971	0.380730400722792	0.754830464728221	1.71565766150797	59	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Upregulated
REACTOME_EGFR_INTERACTS_WITH_PHOSPHOLIPASE_C_GAMMA	0.00827784082828096	0.459280969973971	0.380730400722792	-0.945834333236839	-1.49884759250418	8	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_ESTROGEN_DEPENDENT_NUCLEAR_EVENTS_DOWNSTREAM_OF_ESR_MEMBRANE_SIGNALING	0.00807070590444396	0.459280969973971	0.380730400722792	-0.835151707047877	-1.52347717032391	23	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	0.0109448845617787	0.459280969973971	0.380730400722792	0.709281263861861	1.66428660125884	80	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Upregulated
REACTOME_FORMATION_OF_THE_NEPHRIC_DUCT	0.00750673467344288	0.459280969973971	0.407017918923954	-0.913684911492667	-1.50783003695538	11	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_FOXO_MEDIATED_TRANSCRIPTION	0.0055855302698627	0.459280969973971	0.407017918923954	-0.754790495522213	-1.58623074897487	55	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_CYCLE_GENES	0.00820898431132618	0.459280969973971	0.380730400722792	-0.869526424092564	-1.48545188831004	15	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_GAB1_SIGNALOSOME	0.00872490580644474	0.459280969973971	0.380730400722792	-0.890135291648972	-1.54106099262114	16	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	0.0113322152620392	0.459280969973971	0.380730400722792	-0.812385019859326	-1.52223920658485	26	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_KERATINIZATION	0.0116983882288833	0.459280969973971	0.380730400722792	0.704387886366008	1.66645627824399	81	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Upregulated
REACTOME_MAPK1_ERK2_ACTIVATION	0.0099979256498667	0.459280969973971	0.380730400722792	-0.931178543271936	-1.47982130678627	9	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_NOTCH1_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION	0.00644053486475629	0.459280969973971	0.407017918923954	-0.761859219224036	-1.53597162512731	45	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_NOTCH3_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION	0.011964058009965	0.459280969973971	0.380730400722792	-0.828639153920076	-1.51998746031568	24	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_LIPOGENESIS	0.0106715835273156	0.459280969973971	0.380730400722792	0.958574961149777	1.58795598335107	8	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Upregulated
REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND	0.00862647114988986	0.459280969973971	0.380730400722792	0.961689815846822	1.66533315706872	10	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Upregulated
REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES	0.0084724278983464	0.459280969973971	0.380730400722792	0.900212662177228	1.73342870145505	21	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Upregulated
REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_KERATINOCYTES	0.00671372814208934	0.459280969973971	0.407017918923954	0.974996100383313	1.61515891202767	8	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Upregulated
REACTOME_SCAVENGING_BY_CLASS_B_RECEPTORS	0.00947850461562575	0.459280969973971	0.380730400722792	0.958543925925198	1.56438874950573	7	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Upregulated
REACTOME_SIGNALING_BY_EGFR_IN_CANCER	0.0116705365886053	0.459280969973971	0.380730400722792	-0.815853152333995	-1.48827289871824	23	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS	0.0091114665360074	0.459280969973971	0.380730400722792	-0.614784836113345	-1.45072148745279	135	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_SYNTHESIS_OF_EPOXY_EET_AND_DIHYDROXYEICOSATRIENOIC_ACIDS_DHET	0.0110449261476414	0.459280969973971	0.380730400722792	-0.975491688701616	-1.40686418934557	4	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_TRANSCRIPTIONAL_AND_POST_TRANSLATIONAL_REGULATION_OF_MITF_M_EXPRESSION_AND_ACTIVITY	0.0120467139665304	0.459280969973971	0.380730400722792	-0.75887879785557	-1.52627377487843	43	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_TRANSPORT_OF_NUCLEOSIDES_AND_FREE_PURINE_AND_PYRIMIDINE_BASES_ACROSS_THE_PLASMA_MEMBRANE	0.0109465362673184	0.459280969973971	0.380730400722792	0.913489107253443	1.55664259961447	9	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Upregulated
REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING	0.0123193923557722	0.460091592062513	0.380730400722792	-0.725034290094318	-1.55953208581127	65	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_DISEASES_OF_IMMUNE_SYSTEM	0.0129951897028221	0.464252692239333	0.380730400722792	0.88632557812149	1.76185710403153	24	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Upregulated
REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	0.0136992597709967	0.464252692239333	0.380730400722792	-0.555344486462722	-1.37425514594759	256	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_METABOLISM_OF_STEROIDS	0.0133009835261896	0.464252692239333	0.380730400722792	0.689143708518286	1.66222780563127	116	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Upregulated
REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER	0.0132808559142242	0.464252692239333	0.380730400722792	-0.70823382225747	-1.47566997109511	54	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_SIGNALING_BY_PTK6	0.0136319888357398	0.464252692239333	0.380730400722792	-0.737016917774774	-1.4942401217186	47	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER	0.0184218028683662	0.467397761363521	0.352487857583619	-0.692746582933311	-1.46598033370366	58	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_EGFR_DOWNREGULATION	0.0157179954333249	0.467397761363521	0.352487857583619	-0.796992915311122	-1.50741286919302	27	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_HORMONE_LIGAND_BINDING_RECEPTORS	0.0187786170771569	0.467397761363521	0.352487857583619	-0.99000407996736	-1.31152680239259	1	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND	0.0201832949953227	0.467397761363521	0.352487857583619	-0.737091319941025	-1.4871386315174	44	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS	0.0164142677242694	0.467397761363521	0.352487857583619	-0.875540587494558	-1.46358476159511	12	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	0.0170300995595821	0.467397761363521	0.352487857583619	0.688370318645225	1.56441760985489	60	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Upregulated
REACTOME_ION_CHANNEL_TRANSPORT	0.0202947180748459	0.467397761363521	0.352487857583619	-0.60752062224604	-1.41786186882762	122	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_ION_HOMEOSTASIS	0.0175409690343224	0.467397761363521	0.352487857583619	-0.738007633153271	-1.46671498875457	37	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_IRAK4_DEFICIENCY_TLR2_4	0.0170008182736624	0.467397761363521	0.352487857583619	0.934637136298324	1.6747285062873	12	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Upregulated
REACTOME_METABOLISM_OF_LIPIDS	0.0160551422940329	0.467397761363521	0.352487857583619	0.47257903407658	1.30608786639997	595	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Upregulated
REACTOME_MITF_M_REGULATED_MELANOCYTE_DEVELOPMENT	0.0198565670821259	0.467397761363521	0.352487857583619	-0.609941074935877	-1.43181801393215	130	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_MITOCHONDRIAL_TRANSLATION	0.0193919371090373	0.467397761363521	0.352487857583619	0.686848117945212	1.64800189227503	96	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Upregulated
REACTOME_MITOCHONDRIAL_TRANSLATION_ELONGATION	0.014679232251222	0.467397761363521	0.380730400722792	0.730635846298839	1.75612450334332	86	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Upregulated
REACTOME_NEGATIVE_REGULATION_OF_TCF_DEPENDENT_SIGNALING_BY_DVL_INTERACTING_PROTEINS	0.0195081903126722	0.467397761363521	0.352487857583619	-0.966439999237458	-1.39380974930503	4	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK	0.0173786390953842	0.467397761363521	0.352487857583619	-0.635588299886569	-1.42279947457453	91	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS	0.0205739749437275	0.467397761363521	0.352487857583619	-0.827777065410697	-1.46349950759514	18	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_PI3K_AKT_SIGNALING_IN_CANCER	0.0142225222516528	0.467397761363521	0.380730400722792	-0.672298023737763	-1.4937035919824	84	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_REGULATION_OF_PD_L1_CD274_EXPRESSION	0.0152553499491502	0.467397761363521	0.380730400722792	-0.614479463033562	-1.44446101482747	126	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	0.02094350624689	0.467397761363521	0.352487857583619	0.598679332658431	1.45886466551684	140	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Upregulated
REACTOME_RESPONSE_OF_EIF2AK1_HRI_TO_HEME_DEFICIENCY	0.0192281600857166	0.467397761363521	0.352487857583619	-0.848051846945118	-1.44876588281271	15	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_RRNA_PROCESSING	0.0173927860847428	0.467397761363521	0.352487857583619	0.624139798528929	1.50497797817052	115	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Upregulated
REACTOME_RUNX1_REGULATES_ESTROGEN_RECEPTOR_MEDIATED_TRANSCRIPTION	0.0207208909654421	0.467397761363521	0.352487857583619	-0.950866574842029	-1.43738322400026	6	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_WNT_SIGNALING	0.020853562107351	0.467397761363521	0.352487857583619	-0.965149330178109	-1.39194833305626	4	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_SHC1_EVENTS_IN_EGFR_SIGNALING	0.0162779365969914	0.467397761363521	0.352487857583619	-0.877660876963149	-1.47799282272359	13	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_SIGNALING_BY_ALK_IN_CANCER	0.0146994583954261	0.467397761363521	0.380730400722792	-0.663651143135877	-1.46698566045455	81	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_SIGNALING_BY_NOTCH3	0.0194991229108372	0.467397761363521	0.352487857583619	-0.738703626796869	-1.49039158504747	44	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_SYNTHESIS_OF_12_EICOSATETRAENOIC_ACID_DERIVATIVES	0.0155654802959355	0.467397761363521	0.380730400722792	0.935307181532956	1.47418831402788	6	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Upregulated
REACTOME_VITAMINS	0.0208161230371403	0.467397761363521	0.352487857583619	-0.969271553240735	-1.35205479080217	3	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_CALNEXIN_CALRETICULIN_CYCLE	0.0214886091348397	0.47378499658743	0.352487857583619	-0.799980533146514	-1.46741844520254	24	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_DEFECTIVE_RIPK1_MEDIATED_REGULATED_NECROSIS	0.0218469697203084	0.475951840335289	0.352487857583619	0.921441545235838	1.50383591998955	7	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Upregulated
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	0.0222505878361978	0.479042067532258	0.352487857583619	0.724267051226495	1.57464243693596	42	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Upregulated
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	0.0227567750058245	0.482089978845999	0.352487857583619	0.734225287697705	1.66932533395138	58	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Upregulated
REACTOME_NEGATIVE_REGULATION_OF_TCF_DEPENDENT_SIGNALING_BY_WNT_LIGAND_ANTAGONISTS	0.0231803421823062	0.482089978845999	0.352487857583619	-0.865275086617756	-1.44642458550731	12	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_TRANSLATION	0.0231824689281136	0.482089978845999	0.352487857583619	0.548280277621006	1.39606714111789	243	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Upregulated
REACTOME_ANTIMICROBIAL_PEPTIDES	0.0243113445763159	0.494330673051757	0.352487857583619	0.835333759366605	1.61582488642296	22	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Upregulated
REACTOME_SIGNALING_BY_ERBB4	0.0241753259680913	0.494330673051757	0.352487857583619	-0.718433085616353	-1.44842092372828	45	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS	0.0278680576572779	0.499867156228369	0.352487857583619	-0.793961288758172	-1.4449201731813	22	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_CELLULAR_SENESCENCE	0.0275102539038837	0.499867156228369	0.352487857583619	-0.619387400938333	-1.44788814844757	121	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_CHOLESTEROL_BIOSYNTHESIS	0.0284254938666455	0.499867156228369	0.352487857583619	0.821833669068017	1.65086672361877	27	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Upregulated
REACTOME_INTERLEUKIN_36_PATHWAY	0.0280094472418735	0.499867156228369	0.352487857583619	0.95553695378235	1.42070707543092	4	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Upregulated
REACTOME_INTERLEUKIN_6_SIGNALING	0.0254839161727908	0.499867156228369	0.352487857583619	-0.874028660669012	-1.4423863753683	11	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_MATURATION_OF_SARS_COV_2_NUCLEOPROTEIN	0.0283091973844574	0.499867156228369	0.352487857583619	0.83528674866752	1.54258085926872	15	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Upregulated
REACTOME_NUCLEAR_SIGNALING_BY_ERBB4	0.0276526939968662	0.499867156228369	0.352487857583619	-0.775065853123714	-1.45231091227453	26	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE	0.0251712614539899	0.499867156228369	0.352487857583619	-0.754776377237374	-1.4791181345116	33	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_REGULATION_OF_CYTOSKELETAL_REMODELING_AND_CELL_SPREADING_BY_IPP_COMPLEX_COMPONENTS	0.0277892322760836	0.499867156228369	0.352487857583619	0.913087163359844	1.49020117601758	7	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Upregulated
REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP	0.027859081159933	0.499867156228369	0.352487857583619	-0.701511988298888	-1.42225684852341	47	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_SIGNALING_BY_LEPTIN	0.025650534432073	0.499867156228369	0.352487857583619	-0.881517819169475	-1.4252895511029	10	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_SIGNALING_BY_NTRKS	0.0289540538580367	0.499867156228369	0.352487857583619	-0.60575756770712	-1.40615848302366	114	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
REACTOME_STRIATED_MUSCLE_CONTRACTION	0.0279659875253854	0.499867156228369	0.352487857583619	-0.814791180826973	-1.44054062592506	18	C2	deseq2_pseudobulk_DE_ADvsHealthy_KC_2	Downregulated
