gene	baseMean	log2FC	lfcSE	stat	pvalue	padj	direction
CD24	378.182249223305	4.87970461018461	0.446552701105675	10.9274999302487	8.51624355898019e-28	1.01411428300336e-23	Up in AD
KLK10	199.77427017556	3.88587124563169	0.392382597190815	9.90327112734307	4.02877582789852e-23	1.80181050827666e-19	Up in AD
POU2F2	239.704066667148	-7.00159250105982	0.707851102462112	-9.89133516456532	4.53932778370002e-23	1.80181050827666e-19	Down in AD
CNFN	232.415306868067	3.96963690515187	0.417344337037754	9.51165872604799	1.87646229830367e-21	5.58622826205003e-18	Up in AD
S100A9	990.972467347176	6.78142047430643	0.72065336116348	9.41010038912186	4.95663274168959e-21	1.18047165376079e-17	Up in AD
IVL	167.39287543306	3.49603346983368	0.395778737409893	8.83330290230566	1.01629331296635e-18	2.01700346180056e-15	Up in AD
C10orf99	319.10018712312	4.57143773520521	0.553022888711358	8.2662722077516	1.3821277214554e-16	2.35119670101299e-13	Up in AD
TGM1	79.7990271319108	5.91300157711137	0.724005880130606	8.1670629194955	3.15988113992415e-16	4.7034830767771e-13	Up in AD
ALOX12B	80.0088938512409	5.14737888314535	0.657143669491586	7.8329581826874	4.76522839006435e-15	6.30492662987625e-12	Up in AD
CCND1	426.092653580004	-3.13781659799638	0.407947231133218	-7.69172176822965	1.45168039276701e-14	1.44055084308913e-11	Down in AD
CYR61	119.169814364635	-4.25082512557095	0.552028297441314	-7.70037540697423	1.35667063539846e-14	1.44055084308913e-11	Down in AD
CYSRT1	147.614091615863	3.62932741131282	0.470803019780404	7.70880232035394	1.27003957614573e-14	1.44055084308913e-11	Up in AD
GJB2	244.907892091931	5.39206583031234	0.708684053521771	7.6085609708822	2.77164498856707e-14	2.53882680952744e-11	Up in AD
MAP1B	89.5622526878274	-4.34364073603265	0.576793144342045	-7.53067330747749	5.04793417948328e-14	4.29362858637763e-11	Down in AD
JMJD6	166.16568775955	-3.19121596101877	0.425089511918569	-7.50716230710036	6.042279511622e-14	4.79676429495965e-11	Down in AD
SPRR1B	822.559852749393	4.10864624057067	0.554600854273625	7.40829410721314	1.27934338414318e-13	9.52151313648559e-11	Up in AD
KRT77	136.246402275671	-4.06730387887146	0.55057776162604	-7.38733774291819	1.49797756880508e-13	1.04835376508353e-10	Down in AD
NCCRP1	179.56179472433	3.65265335245693	0.495629289228529	7.36972860934523	1.70975736524968e-13	1.04835376508353e-10	Up in AD
RP11-295G20.2	341.238267751198	2.30978588528254	0.313582096742132	7.36580917494773	1.76075539987157e-13	1.04835376508353e-10	Up in AD
TSPYL2	117.139024111467	-3.61592494242358	0.490058241820251	-7.378561635843	1.60008713667992e-13	1.04835376508353e-10	Down in AD
AGR3	80.7331143012137	-6.91147897511625	0.940140076895424	-7.35154169572227	1.95933624563681e-13	1.11103695300206e-10	Down in AD
