gene	baseMean	log2FC	lfcSE	stat	pvalue	padj	direction
CD24	393.326950971693	5.03717618672357	0.401793650540259	12.5367242114217	4.70026246371095e-36	6.30399201632912e-32	Up in AD
SPRR1B	876.628258948761	5.52321201722998	0.473190402590665	11.6722824194891	1.76620161278078e-31	1.18441480153079e-27	Up in AD
S100A7	2169.23196644377	6.89613727167479	0.601859217686461	11.4580570821586	2.14267533427474e-30	9.57918719443092e-27	Up in AD
S100A9	2366.80406010256	6.10882997658623	0.594442285891629	10.2765737256113	8.98656467117831e-25	3.01319513424609e-21	Up in AD
KRT6A	1716.37223846132	5.24177376510027	0.513201085048494	10.2138789605345	1.71854093675253e-24	4.60981420874498e-21	Up in AD
C10orf99	320.693175582608	6.32241049018031	0.621527891541028	10.1723680887505	2.6342503915501e-24	5.88842770857832e-21	Up in AD
CYR61	487.11581458404	-3.97809513667373	0.391727497743485	-10.1552613987765	3.13967682813663e-24	6.01562080270978e-21	Down in AD
SERPINB13	227.007151956853	7.76643424930946	0.790789080793251	9.82111973716031	9.13234502165847e-23	1.53103764288104e-19	Up in AD
S100A8	2844.56659144783	5.15476457576362	0.553210635966695	9.31790576794687	1.18659186875055e-20	1.76828557152027e-17	Up in AD
AKR1B10	173.757071582136	5.18983744153947	0.561245105952638	9.24700703221353	2.30866586238864e-20	3.09638265463565e-17	Up in AD
PRSS22	142.569305266013	4.1523365084306	0.470535979565345	8.82469500476095	1.09758524080915e-18	1.33825574997567e-15	Up in AD
CYP4F22	90.7896382523377	6.72183080128617	0.812980678122548	8.26813106654539	1.36075252673716e-16	1.52086774071657e-13	Up in AD
POU2F2	422.606907848534	-5.18182074089485	0.629406058315828	-8.23287394906941	1.82774493590401e-16	1.75097964859604e-13	Down in AD
SPRR2A	226.596636263047	11.0634992467808	1.34254167688843	8.24071195497065	1.71188910036256e-16	1.75097964859604e-13	Up in AD
TMEM45B	199.452822399082	4.2852829743675	0.521898521806528	8.21095058773913	2.1944418368877e-16	1.96212359442252e-13	Up in AD
PDZK1IP1	821.398748281735	3.23287650278364	0.398739777968071	8.10773512303685	5.15720074442414e-16	4.32302352401354e-13	Up in AD
CDH3	147.772017495297	3.80486973583973	0.47706531144919	7.97557408708172	1.51674139504199e-15	1.19661974060607e-12	Up in AD
MDFI	91.2256320999034	5.34088639954413	0.671127953371511	7.95807471990011	1.74736827663403e-15	1.30198351812309e-12	Up in AD
KLK10	234.086190515751	3.48889039085527	0.446155974439952	7.8198894349331	5.2869753278522e-15	3.73204805774493e-12	Up in AD
IVL	135.39252013194	4.03997582016724	0.517123555486691	7.8123995267727	5.61093685426048e-15	3.76269425446708e-12	Up in AD
AGR3	244.14550451289	-5.79989511146304	0.75294894145384	-7.70290625585348	1.33005937268664e-14	8.49464586022532e-12	Down in AD
PPP1R3C	86.1474402334692	4.3365536253371	0.578341763090493	7.49825432312515	6.46733285342309e-14	3.94272128318684e-11	Up in AD
SPRR2D	102.583488779406	6.78446525684708	0.915444256701227	7.4111178339735	1.2523924209201e-13	7.3030813692958e-11	Up in AD
GJB2	429.802491072327	4.2098326827399	0.569023022985346	7.39835210999593	1.37884838069791e-13	7.70546436746682e-11	Up in AD
NCCRP1	136.52236342001	3.88513095504524	0.52889485163887	7.34575302256489	2.04603876631225e-13	1.0554412282223e-10	Up in AD
NOV	158.16618788113	-3.26251689499695	0.444030583258726	-7.34750491971397	2.01940866253996e-13	1.0554412282223e-10	Down in AD
KRT15	201.521507067336	-3.49059365539427	0.479145078890332	-7.28504540520015	3.21561984142358e-13	1.59732938196937e-10	Down in AD
RAB31	84.1243951109563	4.05094553881487	0.563690806060123	7.18646728891796	6.64892102512081e-13	3.18483317103287e-10	Up in AD
KRT6B	792.377514390044	5.06306836889954	0.714920454642835	7.08200239064216	1.42086205804599e-12	6.57124204224578e-10	Up in AD
NELL2	61.3566523373634	5.99287286248774	0.848715972430636	7.06110531338861	1.65183340059975e-12	7.38479652294793e-10	Up in AD
HEY1	55.7123877474087	-4.15473616787717	0.591714559265929	-7.02152093913569	2.1946591698652e-12	9.49508670523616e-10	Down in AD
CTSC	581.647296294177	3.0403160117967	0.433420295292866	7.01470615200962	2.30432733157449e-12	9.65801192846159e-10	Up in AD
CHI3L1	84.7563507336592	3.72204172724027	0.535477228495396	6.95088703902237	3.62996451594487e-12	1.43606813780666e-09	Up in AD
KRT16	2108.41891028951	3.28339124738508	0.472397876535618	6.95047842184261	3.64049483189877e-12	1.43606813780666e-09	Up in AD
RP11-1008C21.1	65.5470881131703	-9.72924527388448	1.40639237850656	-6.9178740034242	4.58471766646473e-12	1.75686380978928e-09	Down in AD
SDR9C7	55.2849519802427	3.94095903035361	0.572853026201217	6.87952904165916	6.00507553200691e-12	2.23722425097991e-09	Up in AD
RP11-295G20.2	717.886646461023	2.30879802335239	0.339308522965129	6.80442095346266	1.01456476014236e-11	3.6776601521701e-09	Up in AD
BAG3	1400.55406863964	-2.50986160098497	0.372674459877715	-6.73472929110442	1.64235420513757e-11	5.79664594718554e-09	Down in AD
AVPI1	218.808546714713	-2.86732099308075	0.427176824805779	-6.71225784400736	1.91635668977362e-11	6.59030151878045e-09	Down in AD
LAMA4	115.810662950366	3.13133592407149	0.472463061411344	6.62768410871646	3.40994207765688e-11	1.14335357863835e-08	Up in AD
BGN	140.43212028761	-3.36659892212152	0.511697060299932	-6.57928134304344	4.72727535327369e-11	1.5463955375148e-08	Down in AD
CISH	96.1653106566886	3.11614665013545	0.474195700324265	6.57143590295012	4.98323376010715e-11	1.59131264739422e-08	Up in AD
DPP4	60.6965716913074	3.94339797854921	0.601815992810647	6.55249781603917	5.65825465744807e-11	1.72473889694758e-08	Up in AD
JMJD6	453.875604737112	-2.42411278013048	0.369852028963753	-6.55427736038744	5.59119630905923e-11	1.72473889694758e-08	Down in AD
CHI3L2	112.896800433005	5.39628833997685	0.824531482204153	6.54467228534608	5.96259907451519e-11	1.77711952860884e-08	Up in AD
ARNTL2	107.338846483856	3.76757089989717	0.578933935749347	6.50777345608629	7.62728247821534e-11	2.22385027386574e-08	Up in AD
FABP5	1755.58926087101	3.07705767259061	0.477399242265711	6.44545990057937	1.15250396509871e-10	3.28880493189446e-08	Up in AD
CFAP45	103.756558808788	3.92311772537056	0.610489735872611	6.42618130141533	1.30849330229617e-10	3.65614836883255e-08	Up in AD
TGM1	46.5694767905449	4.61314533105959	0.718810650086784	6.41774760919671	1.38305297379553e-10	3.78561356827462e-08	Up in AD
SCD	112.668742578318	5.00562998678268	0.789578993789239	6.3396189946244	2.30334057364197e-10	6.17848075473723e-08	Up in AD
SERPINB4	1289.14195396284	10.3959311964504	1.64415058796085	6.32297994634663	2.56566608844227e-10	6.74719874082111e-08	Up in AD
FUT2	52.8427327638727	4.69317971985034	0.748552308689063	6.26967503188854	3.61802390608229e-10	9.33171858237995e-08	Up in AD
FHL1	72.7282255442803	-3.10433575719462	0.497584936448891	-6.23880573907501	4.4092414411091e-10	1.11578766430482e-07	Down in AD
ALDH3B2	418.756063730778	2.17414366402186	0.35024834715032	6.20743447245664	5.38565532369583e-10	1.33763720743349e-07	Up in AD
FAM173A	132.633564073504	3.04108573507979	0.491662919460122	6.18530626311843	6.19820151038416e-10	1.48808908336613e-07	Up in AD
STXBP6	85.6125227139484	-3.09021268914837	0.499636479374646	-6.18492207177535	6.21331558816754e-10	1.48808908336613e-07	Down in AD
AP000438.2	80.1543312095818	-4.2965000814427	0.695429601524699	-6.17819556720452	6.48383683407552e-10	1.52563543190563e-07	Down in AD
TMPRSS4	56.0128826404774	4.30963105618214	0.698368479590499	6.17099880955276	6.78599332773412e-10	1.56920245709604e-07	Up in AD
CYSRT1	150.43213730262	3.55849793385727	0.577022765461975	6.16699746847643	6.95988714242103e-10	1.58213570091781e-07	Up in AD
SERTAD3	350.932572046423	-2.42242763332564	0.393722483973858	-6.15262712171266	7.6209840958721e-10	1.70354397823061e-07	Down in AD
RP11-1391J7.1	84.0547893156049	-4.28121170028434	0.69636683954708	-6.14792585911882	7.85027101603207e-10	1.72603007978725e-07	Down in AD
HIST2H2BE	322.32338618128	-2.20539802158905	0.359932688211346	-6.12725127175468	8.94102138630743e-10	1.9341448198896e-07	Down in AD
IFI44	41.686755936066	4.29488114986498	0.708464308544844	6.06224067756706	1.34238136088053e-09	2.85778076383011e-07	Up in AD
PLA2G3	135.941718040633	3.5710619376496	0.589658502001825	6.05615271470901	1.39415653939153e-09	2.92162929786237e-07	Up in AD
ZG16B	193.502765795631	2.3227041481315	0.38386548378594	6.05082834023894	1.44102936231359e-09	2.97339781651536e-07	Up in AD
RASGRP1	122.758222000049	3.65124638120758	0.604360920978122	6.0414997966749	1.52688200181034e-09	3.10280930428489e-07	Up in AD
TBX3	147.617064201667	-2.85370374383402	0.475899523718253	-5.9964416890728	2.01687984207661e-09	4.00413847107429e-07	Down in AD
VWA1	172.725944042221	2.81908652697642	0.470210012146737	5.99537749973872	2.03013283651246e-09	4.00413847107429e-07	Up in AD
EDN1	63.2837680438575	-4.15021471165192	0.698961357798282	-5.93768835050486	2.89068863948491e-09	5.42484413187161e-07	Down in AD
MVD	230.480245078972	2.49122690518359	0.41964782335301	5.93647045581828	2.91223365265998e-09	5.42484413187161e-07	Up in AD
MYC	2003.81404293566	-2.24392809937612	0.377837656040341	-5.93886835656353	2.86996197225653e-09	5.42484413187161e-07	Down in AD
SMIM5	141.92474470223	3.35278378111778	0.564487914102227	5.93951384495116	2.85868535226443e-09	5.42484413187161e-07	Up in AD
CLK1	908.466335877208	-2.02622069390546	0.341545488327534	-5.93250610285434	2.98345296181043e-09	5.46598314424616e-07	Down in AD
MSRB1	210.318694225858	3.3254453871266	0.560713929685986	5.93073439247163	3.01582726419785e-09	5.46598314424616e-07	Up in AD
CDC42EP1	370.807844164111	2.40512771263373	0.405953631832461	5.92463652012933	3.12988900109989e-09	5.59707617103356e-07	Up in AD
CLIC3	241.955977474655	2.68799615841901	0.456563387626965	5.88745447240118	3.92189158636157e-09	6.92110657319491e-07	Up in AD
