gene	baseMean	log2FC	lfcSE	stat	pvalue	padj	direction
S100A8	2401.76605171893	7.07850903639262	0.653759918384011	10.8273830152964	2.55348960156187e-27	3.64995803647254e-23	Up in AD
CYR61	2364.77074019516	-3.27622643511598	0.355595502875623	-9.21335171176759	3.16097244922961e-20	2.2591470094644e-16	Down in AD
SERPINB13	227.260893883052	4.60070200852485	0.50254320500555	9.15483875356359	5.44390489401192e-20	2.59383921850021e-16	Up in AD
SERPINB4	239.050457849742	11.5741747515277	1.30365946429079	8.87821940358035	6.79391300535767e-19	2.42780481246456e-15	Up in AD
AP000438.2	148.228887129507	-6.04799225853117	0.702652446738791	-8.60737379710496	7.47533780191399e-18	2.13704957081117e-14	Down in AD
BAG3	1638.66955536971	-2.892136507143	0.342040292028252	-8.45554332208358	2.77790798843407e-17	5.67248811238237e-14	Down in AD
CDC42EP1	478.687913027474	3.55459659959063	0.419843843514414	8.46647308160084	2.52935253842755e-17	5.67248811238237e-14	Up in AD
JMJD6	780.435863180607	-2.94473031634921	0.351504260642157	-8.37750959538737	5.40593593505897e-17	9.65905603196661e-14	Down in AD
EDN1	617.852828684783	-2.90900411400591	0.348012652757256	-8.35890330698691	6.33039679444055e-17	1.00540768644148e-13	Down in AD
KRT6A	803.091208072553	4.38953017583125	0.533733643947784	8.22419614278744	1.96504292954982e-16	2.55348396681682e-13	Up in AD
SERPINB3	148.734858186516	7.27543016933583	0.883787385320949	8.23210456516501	1.83952568644543e-16	2.55348396681682e-13	Up in AD
PLAU	247.650749062683	3.43085921990872	0.417962189112226	8.20853969397579	2.23894793037842e-16	2.6669601430691e-13	Up in AD
ZNF667-AS1	134.314203389986	-4.37555722468495	0.543518533389906	-8.0504287450784	8.25044981267464e-16	9.07168689402856e-13	Down in AD
CRYAB	2853.60906090568	-3.42678952641398	0.432297919872228	-7.92691652882998	2.24654181430832e-15	2.29371919240879e-12	Down in AD
POU2F2	388.605026109742	-4.99827730408839	0.632112153738446	-7.90726340970905	2.63108525018629e-15	2.50724883774418e-12	Down in AD
C1QTNF1	110.232997807427	4.23400857561189	0.539120903281467	7.85354184903748	4.04449766812566e-15	3.61325310426176e-12	Up in AD
PDZK1IP1	477.986099133747	3.26551680413272	0.416420895311436	7.84186586432096	4.43900408342418e-15	3.73241908049796e-12	Up in AD
NEDD9	269.073130656403	-4.07936474853955	0.529573178957549	-7.70311811593191	1.32785515542887e-14	1.05446453287224e-11	Down in AD
ADRB2	681.78175352028	-3.55956778044245	0.464667012066532	-7.66047016036676	1.85253630277768e-14	1.39369231115285e-11	Down in AD
GJB2	426.543362693013	3.99621066803829	0.527230600445905	7.57962581204219	3.46552998815286e-14	2.47681428253285e-11	Up in AD
TNFRSF21	85.7258814787335	4.1269010843329	0.54766008897677	7.53551549108403	4.86409440743818e-14	3.31082692666292e-11	Up in AD
DDIT4	1364.20925142206	-2.32351262005966	0.310586710928716	-7.48104325877915	7.37349005568771e-14	4.79075758436364e-11	Down in AD
HSPA1L	107.831935466096	-5.19207547324915	0.700008456262468	-7.41716107398334	1.19657392112042e-13	7.43644679499793e-11	Down in AD
ATF3	1264.83540843263	-3.41090123326991	0.471333549176036	-7.23670368729894	4.59721030017117e-13	2.73802183461028e-10	Down in AD
DPP4	63.9724530242733	4.07671894598777	0.574822085937812	7.09214041304046	1.32053424178904e-12	7.25989094312792e-10	Up in AD
SPRR2A	70.6875754007034	9.81532833026753	1.38322098913271	7.09599435475731	1.28424719961067e-12	7.25989094312792e-10	Up in AD
MT1M	261.427241560917	2.87512385809002	0.406011431265145	7.08138647508282	1.42719260801997e-12	7.5556633848287e-10	Up in AD
CD55	1422.83330909082	-2.60612188714348	0.368468451244876	-7.07284946197881	1.51784122123498e-12	7.74857943440456e-10	Down in AD
ZNF57	170.921436014091	-3.14005807917314	0.45308246607041	-6.93043389298841	4.19551791142879e-12	2.06795631124011e-09	Down in AD
ARNTL2	70.1532194066218	3.84368777364302	0.556136856565928	6.91140629912085	4.79872458989612e-12	2.28643230959917e-09	Up in AD
S100A7	1251.93488915492	8.60123398505243	1.26619534239489	6.79297553628969	1.09844012797875e-11	5.0648719965575e-09	Up in AD
NKRF	379.404611601382	-2.66683733234066	0.395048897077665	-6.75065125372662	1.47182992628787e-11	6.57448030198714e-09	Down in AD
PPM1K	88.0767617024155	-3.71198525502182	0.557510600905929	-6.65814291062811	2.77309073359501e-11	1.2011684529093e-08	Down in AD
TRIM47	401.665254046348	2.63753002406457	0.400812282547116	6.58046207392489	4.68988454467351e-11	1.97168263769303e-08	Up in AD
RTP4	62.271092830034	4.44808209633172	0.677605636448876	6.56441129923706	5.22388286907881e-11	2.13343376373179e-08	Up in AD
TSPYL2	416.187781530104	-2.9395494016981	0.449020608706619	-6.54658014509696	5.88695630886294e-11	2.33744870774686e-08	Down in AD
CISH	89.4896975409156	3.14379298583168	0.482055454956642	6.52164176031251	6.9541951366924e-11	2.68657473740219e-08	Up in AD
SYNPO	48.3027368176038	3.95575796392267	0.607925346024725	6.5069798286742	7.66767033601518e-11	2.8842547311316e-08	Up in AD
LRIF1	260.033603688323	-2.76695398960613	0.429545829252219	-6.44158038834418	1.18235795494367e-10	4.25243532949635e-08	Down in AD
OSER1	941.194156568303	-2.6249872176249	0.407568500609757	-6.44060376034384	1.18999169707468e-10	4.25243532949635e-08	Down in AD
SCO2	230.502830362392	2.40313469735967	0.376230135904761	6.38740618579262	1.68723050859135e-10	5.88226168044018e-08	Up in AD
SPRR2D	52.3757490043418	6.53729624751121	1.02655431442835	6.36819324182727	1.91267847030239e-10	6.50948239392915e-08	Up in AD
PPM1D	202.209734298506	-2.80023302190328	0.440826541090016	-6.35223327293143	2.12211182271606e-10	7.05429451021007e-08	Down in AD
RGS16	381.558674480398	-2.71806523670431	0.428595206684372	-6.34180036153779	2.27095479342973e-10	7.37750632211013e-08	Down in AD
SERTAD3	796.776239022613	-2.88771066571989	0.45703943760456	-6.31829647098945	2.64462297199029e-10	8.40049794702871e-08	Down in AD
C1orf52	715.855345281588	-2.33503336220965	0.370510259152495	-6.30220973516579	2.9343172255871e-10	8.94886191660101e-08	Down in AD
SOCS1	84.334778192122	3.24907192365097	0.515682289697601	6.30053036251496	2.96628895898793e-10	8.94886191660101e-08	Up in AD
SPRR1B	191.299639400955	4.53604720453332	0.720177061036413	6.29851664256767	3.00507466067475e-10	8.94886191660101e-08	Up in AD
TMEM173	121.98289189943	3.19666710260652	0.507823829326454	6.29483477930995	3.07727450190274e-10	8.97684933269344e-08	Up in AD
GABARAPL1	226.148279988842	-2.95281801384235	0.470521776514726	-6.27562455390401	3.48233574731688e-10	9.95530143442951e-08	Down in AD
DNASE1L3	162.577600803625	2.89068763145996	0.468897337158271	6.16486254534697	7.0544392252399e-10	1.93915681318421e-07	Up in AD
HIST2H2BE	318.722551652306	-2.47569463146777	0.401427079903394	-6.16723374034348	6.94949936292865e-10	1.93915681318421e-07	Down in AD
AHSA1	1405.76579461731	-2.23057367740088	0.362621870242966	-6.1512386881308	7.68801136213344e-10	2.07344215868557e-07	Down in AD
CHST7	57.1883671920217	-4.20337456039781	0.687954754177854	-6.10995786404745	9.96574479899101e-10	2.59000647557777e-07	Down in AD
TOB2	581.989889502498	-2.81218229697055	0.460106257842079	-6.11202792624431	9.83729635139188e-10	2.59000647557777e-07	Down in AD
MAP1LC3B	1759.132879976	-2.43038595029562	0.399024400617737	-6.09082037723279	1.12333535210259e-09	2.79515404488364e-07	Down in AD
RP11-680F20.6	411.602435100245	-3.1943817978298	0.524142479088024	-6.09449133637828	1.09785977973971e-09	2.79515404488364e-07	Down in AD
TAF7	961.183761432941	-2.33384847807285	0.383271474546969	-6.08928300972955	1.13417472088465e-09	2.79515404488364e-07	Down in AD
CACYBP	2537.86105377762	-2.3097862240782	0.380972925254413	-6.06286187538321	1.33720498400851e-09	3.23966237990131e-07	Down in AD
PML	219.449535476118	2.16288143992898	0.357272706384147	6.05386697970544	1.41409394727264e-09	3.36884314705251e-07	Up in AD
TBX3	211.783067798941	-3.14720284174047	0.520287402124284	-6.04896991334163	1.4577487713298e-09	3.41591162908004e-07	Down in AD
RP11-12M5.3	35.1564339518828	-5.28634886802988	0.875419867693247	-6.0386439274671	1.55414768105401e-09	3.58306241177193e-07	Down in AD
ID4	459.421701162059	-2.70295158645564	0.448308511792606	-6.02922209896846	1.64750747884346e-09	3.73801141310928e-07	Down in AD
USPL1	173.312665594228	-2.64387531490761	0.440289997857198	-6.00484982119696	1.91509082488029e-09	4.27723566419357e-07	Down in AD
CTSC	404.458041328537	2.84802525518793	0.476231559574812	5.9803370816724	2.22676339505749e-09	4.89682399522335e-07	Up in AD
JUN	3057.48600608526	-2.22318005969453	0.373028886661397	-5.95980670449399	2.52536467948312e-09	5.46932768614117e-07	Down in AD
GEMIN7	74.3618548189243	3.56433745931932	0.600659570587617	5.93403923595587	2.95571147615986e-09	6.3058119164521e-07	Up in AD
ERRFI1	899.393126805591	-3.41674374915895	0.576808211119903	-5.92353521203376	3.15093221617741e-09	6.6234448673588e-07	Down in AD
GPBP1	1799.39882837865	-2.31876144889103	0.391953280253765	-5.91591285417941	3.30039932091246e-09	6.83708810045257e-07	Down in AD
TNFRSF12A	895.829060254547	2.62514570338427	0.444083353937394	5.91138055526926	3.39252227871259e-09	6.9275304931311e-07	Up in AD
ZFAND2A	714.932191710631	-2.50412014647601	0.423922609284636	-5.90702192247232	3.48347411746065e-09	7.01306746971584e-07	Down in AD
IGFBP5	373.750028755079	-2.66601245961874	0.45202085787873	-5.89798548706349	3.67966329932498e-09	7.30515377785433e-07	Down in AD
C7orf61	111.591248727379	-3.58769180345153	0.611317944072258	-5.86878209324648	4.39007960461656e-09	8.59613669429987e-07	Down in AD
TSC22D2	484.03563295297	-3.56630395226936	0.609141317744962	-5.85464135887514	4.78040464281374e-09	9.23393296815941e-07	Down in AD
PPP1R15A	2285.70087727848	-2.76802380401563	0.473816376739204	-5.84197579464247	5.15853032344842e-09	9.83147099244956e-07	Down in AD
CDH3	188.88018057509	2.23261709848242	0.384390130694597	5.80820609116071	6.31457593611581e-09	1.15718651834409e-06	Up in AD
MRPL18	1543.65008938651	-1.87370067673345	0.322507063171763	-5.80979733685875	6.25485129706788e-09	1.15718651834409e-06	Down in AD
U2AF1	308.400071305908	-2.32852697117954	0.400662010449536	-5.81169891442159	6.18419930048458e-09	1.15718651834409e-06	Down in AD
NPY1R	42.6153622477828	-3.82266815090229	0.658544980603168	-5.80471837686936	6.44742794835368e-09	1.16657639359199e-06	Down in AD
CDKN1B	419.4798173914	-2.4075977261815	0.415484722877002	-5.79467208688257	6.84547998673984e-09	1.21332677691848e-06	Down in AD
LGALS3BP	377.939867330551	2.92677303041658	0.505144194016056	5.79393580107851	6.87557499163264e-09	1.21332677691848e-06	Up in AD
ASGR1	100.528028604647	-4.19339007267434	0.724540735413029	-5.78765260214648	7.13768347878004e-09	1.24422009324002e-06	Down in AD
PHF13	365.360503549632	-2.78505432096048	0.482130572103883	-5.77655614910975	7.6245066108166e-09	1.31306864451822e-06	Down in AD
KLF4	1837.04233444742	-2.06390640304597	0.357638982647461	-5.77092124512736	7.88393172955842e-09	1.34158238264652e-06	Down in AD
RSRP1	1976.77207460776	-2.13145815141345	0.370683624304313	-5.75007367917505	8.92045658627888e-09	1.50010595816789e-06	Down in AD
LMO4	1459.76729098563	-2.11681319581509	0.368450020580955	-5.74518408895023	9.18210351732978e-09	1.52615101949665e-06	Down in AD
CLK1	1291.17186404552	-2.06015541909792	0.359783103566852	-5.72610386278219	1.02763320885509e-08	1.66920330538348e-06	Down in AD
PLK2	1185.69577396322	-2.49594474430447	0.435749159812326	-5.72793931577391	1.01657915720539e-08	1.66920330538348e-06	Down in AD
LGALS4	188.932993337493	-2.61873419927389	0.458188622654379	-5.71540642825882	1.09442130715665e-08	1.73818424049968e-06	Down in AD
MCL1	2063.01386606034	-2.23573035779981	0.391174076262323	-5.71543589790577	1.09423164759702e-08	1.73818424049968e-06	Down in AD
TNC	105.792820835835	3.35990842378141	0.588102706979676	5.71313204973485	1.10915543735004e-08	1.74222723312984e-06	Up in AD
CD24	47.0606570896317	3.76442932409418	0.659252281976011	5.71014985767036	1.12876737686459e-08	1.75376096575026e-06	Up in AD
PCF11	904.044369842762	-2.49398344400922	0.441284427455615	-5.65164616931801	1.58918463799722e-08	2.44255970059487e-06	Down in AD
CENPP	601.25744848157	1.97562930132292	0.349993436259525	5.64476100591201	1.65410864164759e-08	2.51530094933092e-06	Up in AD
RAB31	127.385649965047	2.48401721192138	0.440536861588447	5.638613765406	1.71424549988123e-08	2.57930791318972e-06	Up in AD
AVPI1	636.901584191775	-2.48419244243581	0.441929946340919	-5.62123581577662	1.89596261611148e-08	2.82300933694766e-06	Down in AD
GALNT6	51.1618476372908	3.43575104895694	0.61309148558955	5.60397775815319	2.09487601527511e-08	3.08702657343736e-06	Up in AD
ZNF667	37.2328666034662	-6.15257743472135	1.10002690361146	-5.59311541792481	2.23030919722547e-08	3.25306527195314e-06	Down in AD
