comparison	subset_group	n_healthy	n_lesional	median_healthy	median_lesional	mwu_stat	mwu_pval	mwu_padj
Healthy vs Lesional	KC 5	193	411	0.0978	0.1007	37125.0	2.05e-01	4.10e-01
Healthy vs Lesional	cKC	132	62	0.8095	0.7816	4371.0	4.45e-01	4.45e-01
